iter	Passed	Remaining
0	52	52616
1	55	27812
2	56	18889
3	57	14421
4	59	11911
5	61	10125
6	62	8895
7	63	7934
8	65	7185
9	66	6580
10	67	6072
11	68	5663
12	69	5301
13	70	4999
14	72	4734
15	73	4502
16	75	4337
17	76	4153
18	77	3987
19	78	3834
20	79	3698
21	80	3576
22	81	3464
23	82	3364
24	83	3273
25	85	3186
26	86	3103
27	87	3028
28	88	2976
29	90	2924
30	91	2868
31	92	2809
32	93	2753
33	95	2701
34	96	2652
35	97	2608
36	98	2563
37	99	2522
38	100	2481
39	101	2442
40	102	2406
41	104	2384
42	106	2359
43	107	2328
44	108	2297
45	109	2268
46	110	2241
47	111	2213
48	112	2186
49	113	2161
50	114	2137
51	115	2113
52	117	2091
53	119	2086
54	120	2070
55	121	2056
56	123	2038
57	124	2021
58	125	2006
59	126	1988
60	128	1971
61	129	1954
62	130	1938
63	131	1927
64	133	1925
65	135	1915
66	136	1905
67	138	1891
68	139	1881
69	140	1868
70	141	1854
71	142	1841
72	144	1828
73	145	1816
74	146	1805
75	148	1809
76	150	1802
77	151	1790
78	152	1779
79	153	1770
80	155	1761
81	156	1750
82	156	1734
83	158	1724
84	159	1715
85	160	1706
86	162	1703
87	163	1696
88	164	1688
89	165	1678
90	167	1669
91	168	1661
92	169	1652
93	170	1643
94	171	1634
95	172	1625
96	173	1618
97	174	1610
98	176	1610
99	178	1604
100	179	1596
101	180	1589
102	181	1582
103	182	1575
104	183	1568
105	185	1561
106	186	1554
107	187	1547
108	188	1541
109	189	1534
110	191	1535
111	192	1529
112	194	1523
113	195	1516
114	196	1510
115	197	1503
116	198	1495
117	199	1489
118	200	1483
119	201	1477
120	202	1472
121	203	1465
122	204	1460
123	206	1459
124	207	1453
125	208	1447
126	209	1442
127	211	1437
128	212	1432
129	213	1429
130	215	1432
131	218	1435
132	221	1444
133	222	1440
134	223	1434
135	225	1429
136	226	1423
137	227	1418
138	228	1413
139	229	1408
140	230	1403
141	231	1398
142	232	1393
143	235	1397
144	236	1393
145	237	1389
146	238	1385
147	239	1380
148	241	1376
149	242	1373
150	243	1370
151	244	1365
152	245	1361
153	247	1357
154	248	1356
155	251	1359
156	253	1362
157	256	1364
158	258	1366
159	260	1368
160	263	1371
161	266	1375
162	267	1371
163	268	1366
164	269	1362
165	270	1357
166	273	1363
167	275	1362
168	277	1363
169	280	1367
170	281	1365
171	283	1365
172	286	1367
173	288	1369
174	290	1370
175	293	1372
176	296	1376
177	296	1370
178	297	1366
179	299	1365
180	302	1367
181	303	1365
182	305	1361
183	307	1362
184	310	1366
185	312	1367
186	314	1368
187	317	1369
188	319	1370
189	320	1367
190	323	1369
191	325	1369
192	326	1365
193	327	1359
194	328	1355
195	329	1351
196	330	1347
197	331	1343
198	332	1339
199	333	1335
200	335	1331
201	336	1328
202	338	1328
203	341	1333
204	343	1331
205	344	1328
206	346	1325
207	348	1326
208	350	1327
209	352	1326
210	356	1331
211	357	1327
212	358	1323
213	359	1319
214	360	1315
215	361	1311
216	362	1307
217	363	1304
218	364	1300
219	365	1296
220	366	1292
221	367	1289
222	368	1285
223	371	1288
224	373	1287
225	375	1287
226	378	1287
227	380	1288
228	382	1288
229	383	1284
230	389	1295
231	391	1297
232	394	1297
233	396	1297
234	399	1299
235	402	1303
236	405	1305
237	407	1305
238	410	1306
239	412	1306
240	416	1312
241	417	1309
242	419	1305
243	420	1301
244	421	1298
245	422	1294
246	423	1291
247	424	1287
248	426	1285
249	427	1283
250	429	1280
251	431	1280
252	432	1277
253	433	1274
254	435	1270
255	436	1268
256	439	1270
257	441	1270
258	443	1270
259	448	1276
260	451	1279
261	454	1279
262	456	1279
263	459	1279
264	463	1286
265	466	1286
266	467	1284
267	470	1284
268	472	1284
269	479	1297
270	481	1295
271	484	1295
272	486	1295
273	489	1297
274	493	1299
275	495	1299
276	500	1306
277	506	1316
278	511	1321
279	514	1322
280	517	1323
281	519	1321
282	521	1321
283	525	1324
284	528	1324
285	529	1321
286	530	1317
287	531	1314
288	533	1312
289	535	1310
290	539	1314
291	540	1310
292	541	1306
293	542	1303
294	543	1300
295	545	1297
296	548	1297
297	549	1295
298	550	1291
299	554	1293
300	555	1290
301	556	1287
302	558	1285
303	560	1283
304	561	1279
305	562	1276
306	563	1272
307	565	1269
308	567	1269
309	570	1269
310	572	1268
311	574	1266
312	575	1263
313	576	1260
314	577	1256
315	579	1253
316	580	1250
317	583	1251
318	585	1250
319	586	1247
320	587	1243
321	589	1240
322	590	1236
323	591	1233
324	592	1230
325	593	1226
326	594	1223
327	596	1222
328	605	1234
329	606	1231
